Countrycode3,Country,year,Gini,r1Gini,rmultiGini
ARM,Armenia,1996,61.3,,
BGD,Bangladesh,2005,34.1,,
BGD,Bangladesh,1992,28.3,,
BLR,Belarus,1996,28.2,,
BLR,Belarus,1995,27.5,,
BLR,Belarus,1998,27.7,,
BLR,Belarus,1999,27.2,,
BLR,Belarus,1995,28.4,,
BOL,Bolivia,2001,60.9,,
BOL,Bolivia,1999,58.6,,
BOL,Bolivia,1999,58.1,,
BOL,Bolivia,2007,56.5,,
BOL,Bolivia,2009,49.3,,
BOL,Bolivia,2000,62.2,,
BOL,Bolivia,2000,64.3,,
BOL,Bolivia,2004,56.1,,
BOL,Bolivia,1997,59.5,,
BOL,Bolivia,2002,61.4,,
BOL,Bolivia,2009,50.8,,
BWA,Botswana,2003,62.6,,
BRA,Brazil,1993,62.1,,
BRA,Brazil,2009,57.6,,
BRA,Brazil,2006,60.5,,
BRA,Brazil,1990,62.7,,
BRA,Brazil,2005,61.3,,
BRA,Brazil,2007,59,,
BRA,Brazil,2008,59.4,,
BRA,Brazil,2002,63.4,,
BRA,Brazil,2004,61.2,,
BRA,Brazil,2001,63.9,,
BRA,Brazil,1996,63.7,,
BRA,Brazil,2003,62.1,,
BRA,Brazil,1995,62.9,,
BRA,Brazil,1999,64,,
BRA,Brazil,2004,56.4,,
BRA,Brazil,2009,54.4,,
BGR,Bulgaria,1992,28.9,,
BFA,Burkina Faso,1995,39,,
CMR,Cameroon,1983,49,,
CMR,Cameroon,2007,39,,
CMR,Cameroon,1996,47.8,,
CAF,Central African Republic,1992,55,,
CHL,Chile,1996,57.7,,
CHL,Chile,1994,55.2,,
CHL,Chile,1990,54.7,,
CHL,Chile,1990,55.4,,
CHL,Chile,1992,52.2,,
CHL,Chile,1992,55.1,,
CHL,Chile,2000,61.4,,
CHL,Chile,1998,56,,
CHL,Chile,1996,55.3,,
CHL,Chile,2009,52.4,,
CHL,Chile,2006,52.2,,
CHL,Chile,1992,52.8,,
CHL,Chile,2003,55.2,,
CHL,Chile,1998,55.8,,
CHL,Chile,1996,56.4,,
CHL,Chile,1987,54.7,,
CHL,Chile,1994,55.6,,
CHL,Chile,2000,56.4,,
CHL,Chile,1990,53.2,,
CHL,Chile,1998,55.9,,
CHL,Chile,1993,50,,
CHN,China,1995,45.2,,
CHN,China,1988,38.2,,
CHN,China,2002,45.3,,
CHN,China,1996,39,,
COL,Colombia,2010,55.3,,
COL,Colombia,2005,55,,
COL,Colombia,2003,54.2,,
COL,Colombia,2002,58.1,,
COL,Colombia,2004,56,,
COL,Colombia,2008,55.8,,
COL,Colombia,2009,55.7,,
COL,Colombia,2007,55.3,,
COL,Colombia,1974,46,,
CRI,Costa Rica,2002,48.8,,
CRI,Costa Rica,2005,47,,
CRI,Costa Rica,2008,47.3,,
CRI,Costa Rica,2007,48.4,,
CRI,Costa Rica,1997,45,,
CRI,Costa Rica,2009,50.1,,
CRI,Costa Rica,2006,48.2,,
CRI,Costa Rica,2001,48.9,,
CRI,Costa Rica,2010,49.2,,
CRI,Costa Rica,1999,47.3,,
CRI,Costa Rica,1990,43.8,,
CRI,Costa Rica,1994,46.1,,
CRI,Costa Rica,2000,47.4,,
CRI,Costa Rica,1992,44.3,,
CRI,Costa Rica,2004,47.8,,
CRI,Costa Rica,2001,49.9,,
CRI,Costa Rica,2010,48,,
CRI,Costa Rica,2010,48.9,,
CIV,Cote d'Ivoire,2008,44.7,,
CIV,Cote d'Ivoire,2002,46.2,,
CIV,Cote d'Ivoire,1998,40.8,,
CIV,Cote d'Ivoire,1993,36.9,,
CZE,Czech Republic,1993,26.6,,
DNK,Denmark,1976,27,,
DJI,Djibouti,2002,40.9,,
DJI,Djibouti,1996,44.8,,
DOM,Dominican Republic,2005,56.9,,
DOM,Dominican Republic,2010,55.4,,
DOM,Dominican Republic,2007,55.6,,
DOM,Dominican Republic,2004,58.6,,
DOM,Dominican Republic,2009,57.4,,
DOM,Dominican Republic,2002,53.7,,
DOM,Dominican Republic,2006,58.3,,
DOM,Dominican Republic,2008,55,,
DOM,Dominican Republic,1989,50.3,,
DOM,Dominican Republic,2005,51,,
ECU,Ecuador,1995,56,,
ECU,Ecuador,2006,52.7,,
ECU,Ecuador,2009,50,,
ECU,Ecuador,2008,50.4,,
ECU,Ecuador,1994,62.5,,
ECU,Ecuador,1999,54.5,,
ECU,Ecuador,2005,53.1,,
ECU,Ecuador,2001,53.9,,
ECU,Ecuador,2010,49.5,,
ECU,Ecuador,1998,56.2,,
ECU,Ecuador,1995,54.7,,
ECU,Ecuador,2004,51.3,,
ECU,Ecuador,2000,56.7,,
ECU,Ecuador,2000,55.9,,
ECU,Ecuador,2007,54,,
ECU,Ecuador,1995,49.4,,
ECU,Ecuador,2006,52.9,,
ECU,Ecuador,1998,49.1,,
EGY,Egypt,1975,37,,
EGY,Egypt,1991,32,,
EGY,Egypt,1997,37.4,,
SLV,El Salvador,2004,47.3,,
SLV,El Salvador,2001,51,,
SLV,El Salvador,1999,53.3,,
SLV,El Salvador,1997,52,,
SLV,El Salvador,2000,51.3,,
SLV,El Salvador,1997,52.9,,
SLV,El Salvador,2009,45.9,,
SLV,El Salvador,2000,54.8,,
SLV,El Salvador,2010,44.5,,
SLV,El Salvador,1999,54.5,,
EST,Estonia,2008,31.5,,
EST,Estonia,2005,33.7,,
EST,Estonia,2007,31.3,,
EST,Estonia,2009,31.4,,
EST,Estonia,2004,34.9,,
EST,Estonia,2010,31.9,,
EST,Estonia,2006,32.8,,
EST,Estonia,1998,37,,
EST,Estonia,1995,35.4,,
EST,Estonia,2000,36.3,,
EST,Estonia,1997,34,,
ETH,Ethiopia,2010,29.8,,
